Consumption NO areas in MWh;;;;;;
Data was last updated 29-04-2019;;;;;;
;NO1;NO2;NO3;NO4;NO5;NO
01/01/2019;114897;113285;77598;57835;46948;410564
02/01/2019;134030;122099;82631;62359;53805;454919
03/01/2019;133438;125611;80722;63206;55018;457991
04/01/2019;127010;116508;77010;58747;50400;429673
05/01/2019;117416;107875;72024;56606;47296;401216
06/01/2019;121643;111219;70079;52853;47021;402811
07/01/2019;136055;123194;80635;56516;52614;449011
08/01/2019;134999;121212;84164;58657;52857;451888
09/01/2019;135358;123481;84097;58002;55240;456176
10/01/2019;138946;121158;80595;59582;54929;455205
11/01/2019;134759;116327;82423;60164;51802;445467
12/01/2019;135196;113933;80983;58623;52040;440771
13/01/2019;133010;113755;79860;59256;50885;436760
14/01/2019;144268;126658;88306;65651;56622;481502
15/01/2019;147497;122740;89437;67598;56044;483308
16/01/2019;152279;120870;90120;67184;55107;485553
17/01/2019;156668;127877;89769;67476;57343;499129
18/01/2019;153819;131558;88955;66274;58661;499268
19/01/2019;141355;122259;84430;63330;54499;465869
20/01/2019;143781;122021;84862;63537;54651;468845
21/01/2019;154135;128185;91237;68065;56908;498528
22/01/2019;154139;130551;93067;68694;57808;504255
23/01/2019;145571;128107;93867;68984;57106;493626
24/01/2019;144162;126290;94047;68892;57873;491264
25/01/2019;143508;128260;92435;67380;57612;489193
26/01/2019;137800;123726;89564;65174;54613;470875
27/01/2019;139787;125508;88127;65737;54118;473275
28/01/2019;152697;132143;92234;70126;58512;505708
29/01/2019;163455;134075;92961;70023;58323;518826
30/01/2019;168074;132455;92013;69062;56712;518315
31/01/2019;163338;131202;90502;68526;57137;510701
01/02/2019;152982;117897;89955;66775;56423;484029
02/02/2019;141450;124252;88051;64170;54915;472834
03/02/2019;138316;120757;88429;64754;54066;466315
04/02/2019;159441;129788;90782;67976;56057;504040
05/02/2019;149088;125485;93185;68936;55659;492351
06/02/2019;156345;126840;92498;68331;56040;500047
07/02/2019;150699;122984;89231;67228;54482;484615
08/02/2019;140142;120487;86192;64889;54108;465813
09/02/2019;121177;110759;81286;62509;50369;426094
10/02/2019;117742;106482;79891;61147;50795;416053
11/02/2019;131160;118929;87280;62797;54297;454458
12/02/2019;141035;120696;84813;62619;55054;464205
13/02/2019;124449;111468;76985;64380;50151;427426
14/02/2019;125140;112279;79986;60726;50372;428494
15/02/2019;122350;109332;77678;57926;48926;416207
16/02/2019;116486;108244;77354;56266;48499;406842
17/02/2019;116370;105793;78540;57598;47972;406268
18/02/2019;119567;112346;78529;60653;49650;420739
19/02/2019;117925;109308;79339;61254;50031;417852
20/02/2019;124451;114283;81080;63816;52516;436140
21/02/2019;128003;113320;83172;65040;50818;440345
22/02/2019;128627;114182;79034;61452;47205;430502
23/02/2019;113813;106643;73393;53425;45273;392546
24/02/2019;108112;102284;76076;52738;46488;385698
25/02/2019;120546;110523;81296;57593;50273;420223
26/02/2019;116717;106584;78422;58422;49389;409534
27/02/2019;121320;110172;79460;58233;49237;418417
28/02/2019;119245;107243;83249;60081;50437;420250
01/03/2019;116846;111536;83731;62747;52938;427793
02/03/2019;114976;108113;80801;59326;51882;415096
03/03/2019;110005;103296;80205;61376;48844;403726
04/03/2019;122301;109826;85342;65869;50286;433616
05/03/2019;132284;116273;89053;66650;51871;456126
06/03/2019;135611;118246;89764;65010;52473;461099
07/03/2019;129927;115300;87850;63202;52785;449060
08/03/2019;126452;114214;87673;63818;52235;444392
09/03/2019;124724;111006;82909;61379;51428;431445
10/03/2019;122203;109704;83869;59855;51735;427354
11/03/2019;135104;119357;87088;64159;54421;460123
12/03/2019;144465;122268;87214;62046;54488;470475
13/03/2019;131695;116215;85616;62552;51872;447950
14/03/2019;134022;116472;84493;61758;52292;449032
15/03/2019;127653;116197;82489;59563;52516;438408
16/03/2019;116534;107873;80204;57293;49242;411145
17/03/2019;116948;106447;79683;57894;49120;410090
18/03/2019;121187;111047;83692;61325;50425;427669
19/03/2019;119392;111861;80784;60953;51608;424596
20/03/2019;109246;105234;80771;58889;49382;403520
21/03/2019;105763;101460;77252;59464;47383;391315
22/03/2019;113511;107563;79851;59358;49704;409983
23/03/2019;99071;102244;79630;55932;47564;384430
24/03/2019;102769;102914;79471;55693;48402;389239
25/03/2019;111221;106758;82933;59711;49882;410504
26/03/2019;111898;108657;83361;60613;51026;415551
27/03/2019;106683;104304;77466;59259;47710;395418
28/03/2019;103575;100915;76893;58661;46827;386867
29/03/2019;96300;99295;77237;58285;45804;376918
30/03/2019;93014;97378;77858;57199;46887;372334
31/03/2019;90334;97089;73503;53805;46380;361106
01/04/2019;110425;107280;82401;60692;50269;411060
02/04/2019;106245;107060;79746;57751;48877;399677
03/04/2019;110143;108147;76085;56725;48265;399364
04/04/2019;101801;102809;76523;57539;45306;383976
05/04/2019;100587;97363;73429;56740;41561;369665
06/04/2019;94942;92645;72945;55200;41649;357379
07/04/2019;92386;92803;73280;53814;42707;354987
08/04/2019;103932;99864;79348;59147;45019;387301
09/04/2019;107411;104504;78299;58596;46769;396049
10/04/2019;107798;106293;78991;59531;48458;401071
11/04/2019;109562;106519;79694;60136;48269;404182
12/04/2019;106633;105627;78632;57682;47947;396515
13/04/2019;95338;97623;73662;54007;45106;365737
14/04/2019;89246;95656;71478;53846;44249;354471
15/04/2019;95100;100557;73723;55580;44964;369922
16/04/2019;95269;99198;70912;53354;43755;362485
17/04/2019;88317;95127;68129;52431;43457;347449
18/04/2019;77338;88385;62758;48790;39335;316605
19/04/2019;73091;84267;60415;49923;37071;304761
20/04/2019;69593;85125;60614;46989;34895;297214
21/04/2019;67154;82488;59558;47234;34234;290660
22/04/2019;70636;83435;59285;48521;33495;295371
23/04/2019;79222;87255;62922;50538;35658;315595
24/04/2019;80039;88586;63786;49993;36543;318950
25/04/2019;81636;87544;63624;48153;36150;317101
26/04/2019;78894;89094;62845;48352;36044;315221
27/04/2019;70150;81440;59809;45890;36312;293598
28/04/2019;68594;83367;59344;45302;35952;292552
29/04/2019;40867;49441;34211;26872;19888;171277
